"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00014846","SANDUSKY, OH US","2016-04-12","0.00","46","36"
"USW00014846","SANDUSKY, OH US","2016-04-13","0.00","45","35"
"USW00014846","SANDUSKY, OH US","2016-04-14","0.00","46","39"
"USW00014846","SANDUSKY, OH US","2016-04-15","0.00","51","41"
"USW00014846","SANDUSKY, OH US","2016-04-16","0.00","56","44"
"USW00014846","SANDUSKY, OH US","2016-04-17","0.00","58","45"
"USW00014846","SANDUSKY, OH US","2016-04-18","0.00","70","46"
"USW00014846","SANDUSKY, OH US","2016-04-19","0.00","65","45"
"USW00014846","SANDUSKY, OH US","2016-04-20","0.00","53","45"
"USW00014846","SANDUSKY, OH US","2016-04-21","0.12","66","49"
"USW00014846","SANDUSKY, OH US","2016-04-22","0.02","61","45"
"USW00014846","SANDUSKY, OH US","2016-04-23","0.00","50","42"
"USW00014846","SANDUSKY, OH US","2016-04-24","0.00","56","42"
"USW00014846","SANDUSKY, OH US","2016-04-25","0.00","78","50"
"USW00014846","SANDUSKY, OH US","2016-04-26","0.40","69","43"
"USW00014846","SANDUSKY, OH US","2016-04-27","0.00","52","42"
"USW00014846","SANDUSKY, OH US","2016-04-28","0.17","49","44"
"USW00014846","SANDUSKY, OH US","2016-04-29","0.07","48","44"
"USW00014846","SANDUSKY, OH US","2016-04-30","0.44","51","41"
"USW00014846","SANDUSKY, OH US","2016-05-01","0.14","52","49"
"USW00014846","SANDUSKY, OH US","2016-05-02","0.59","53","46"
"USW00014846","SANDUSKY, OH US","2016-05-03","0.00","58","48"
"USW00014846","SANDUSKY, OH US","2016-05-04","0.34","61","47"
"USW00014846","SANDUSKY, OH US","2016-05-05","0.16","58","47"
"USW00014846","SANDUSKY, OH US","2016-05-06","0.00","68","51"
"USW00014846","SANDUSKY, OH US","2016-05-07","0.00","72","52"
"USW00014846","SANDUSKY, OH US","2016-05-08","0.00","68","44"
"USW00014846","SANDUSKY, OH US","2016-05-09","0.00","57","49"
"USW00014846","SANDUSKY, OH US","2016-05-10","0.09","58","51"
"USW00014846","SANDUSKY, OH US","2016-05-11","0.00","63","52"
"USW00014846","SANDUSKY, OH US","2016-05-12","0.98","77","56"
"USW00014846","SANDUSKY, OH US","2016-05-13","0.03","68","56"
"USW00014846","SANDUSKY, OH US","2016-05-14","0.15","58","43"
"USW00014846","SANDUSKY, OH US","2016-05-15","0.01","50","40"
"USW00014846","SANDUSKY, OH US","2016-05-16","0.00","54","40"
"USW00014846","SANDUSKY, OH US","2016-05-17","0.00","59","53"
"USW00014846","SANDUSKY, OH US","2016-05-18","0.00","58","49"
"USW00014846","SANDUSKY, OH US","2016-05-19","0.00","65","45"
"USW00014846","SANDUSKY, OH US","2016-05-20","0.02","61","49"
"USW00014846","SANDUSKY, OH US","2016-05-21","0.06","62","54"
"USW00014846","SANDUSKY, OH US","2016-05-22","0.00","67","54"
"USW00014846","SANDUSKY, OH US","2016-05-23","0.00","70","49"
"USW00014846","SANDUSKY, OH US","2016-05-24","0.00","81","58"
"USW00014846","SANDUSKY, OH US","2016-05-25","0.00","85","64"
"USW00014846","SANDUSKY, OH US","2016-05-26","0.00","85","68"
"USW00014846","SANDUSKY, OH US","2016-05-27","0.00","82","66"
"USW00014846","SANDUSKY, OH US","2016-05-28","0.47","87","68"
"USW00014846","SANDUSKY, OH US","2016-05-29","0.05","86","67"
"USW00014846","SANDUSKY, OH US","2016-05-30","0.00","80","64"
"USW00014846","SANDUSKY, OH US","2016-05-31","0.00","75","64"
"USW00014846","SANDUSKY, OH US","2016-06-01","0.00","72","65"
"USW00014846","SANDUSKY, OH US","2016-06-02","0.00","80","65"
"USW00014846","SANDUSKY, OH US","2016-06-03","0.00","79","66"
"USW00014846","SANDUSKY, OH US","2016-06-04","0.28","75","67"
"USW00014846","SANDUSKY, OH US","2016-06-05","0.27","79","65"
"USW00014846","SANDUSKY, OH US","2016-06-06","0.04","84","63"
"USW00014846","SANDUSKY, OH US","2016-06-07","0.07","68","61"
"USW00014846","SANDUSKY, OH US","2016-06-08","0.00","69","55"
"USW00014846","SANDUSKY, OH US","2016-06-09","0.00","69","59"
"USW00014846","SANDUSKY, OH US","2016-06-10","0.00","75","65"
"USW00014846","SANDUSKY, OH US","2016-06-11","0.00","95","75"
"USW00014846","SANDUSKY, OH US","2016-06-12","0.00","83","63"
"USW00014846","SANDUSKY, OH US","2016-06-13","0.00","70","60"
"USW00014846","SANDUSKY, OH US","2016-06-14","0.03","72","59"
"USW00014846","SANDUSKY, OH US","2016-06-15","0.02","85","67"
"USW00014846","SANDUSKY, OH US","2016-06-16","0.62","80","67"
"USW00014846","SANDUSKY, OH US","2016-06-17","0.00","78","67"
"USW00014846","SANDUSKY, OH US","2016-06-18","0.00","81","61"
"USW00014846","SANDUSKY, OH US","2016-06-19","0.00","89","67"
"USW00014846","SANDUSKY, OH US","2016-06-20","0.00","92","74"
"USW00014846","SANDUSKY, OH US","2016-06-21","0.00","82","67"
"USW00014846","SANDUSKY, OH US","2016-06-22","0.11","80","63"
"USW00014846","SANDUSKY, OH US","2016-06-23","0.48","73","66"
"USW00014846","SANDUSKY, OH US","2016-06-24","0.00","75","66"
"USW00014846","SANDUSKY, OH US","2016-06-25","0.00","78","59"
"USW00014846","SANDUSKY, OH US","2016-06-26","0.00","92","68"
"USW00014846","SANDUSKY, OH US","2016-06-27","0.02","91","70"
"USW00014846","SANDUSKY, OH US","2016-06-28","0.00","74","66"
"USW00014846","SANDUSKY, OH US","2016-06-29","0.00","76","63"
